ui,name,mesh_number
D016112,ichthyosis vulgaris,"C16.131.831.512.410, C16.320.850.405, C17.800.428.333.410, C17.800.804.512.410, C17.800.827.405"
D016113,"ichthyosiform erythroderma, congenital","C16.131.831.512.400, C16.320.850.400, C16.614.492.400, C17.800.428.333.250, C17.800.804.512.400, C17.800.827.400"
D016114,"ichthyosis, x-linked","C16.131.831.512.420, C16.320.322.241, C16.320.565.925.400, C16.320.850.408, C16.614.492.420, C17.800.428.333.420, C17.800.804.512.420, C17.800.827.408, C18.452.648.925.400"
D016115,"albinism, oculocutaneous","C11.270.040.545, C16.320.290.040.100, C16.320.565.100.102.100, C16.320.850.080.100, C17.800.621.440.102.100, C17.800.827.080.100, C18.452.648.100.102.100"
D016116,piebaldism,"C16.320.290.040.600, C16.320.565.100.102.600, C16.320.850.080.600, C17.800.621.440.102.600, C17.800.827.080.600, C18.452.648.100.102.600"
D016117,"albinism, ocular","C11.270.040.090, C16.320.290.040.090, C16.320.565.100.102.090, C16.320.850.080.090, C17.800.621.440.102.090, C17.800.827.080.090, C18.452.648.100.102.090"
D016118,anterior cruciate ligament,"A02.513.514.100, A02.835.583.512.100, A10.165.669.514.100"
D016119,posterior cruciate ligament,"A02.513.514.600, A02.835.583.512.600, A10.165.669.514.600"
D016121,brachiocephalic veins,A07.015.908.130
D016122,brachiocephalic trunk,A07.015.114.145
D016123,campylobacter jejuni,"B03.440.180.425, B03.660.150.235.250.500.375"
D016124,eikenella corrodens,"B03.440.450.400.275, B03.660.075.525.170.100"
D016127,heart valve prolapse,C14.280.484.400
D016130,immunophenotyping,"E01.370.225.812.447, E05.200.812.447, E05.478.594.450"
D016131,lymphocyte subsets,"A11.118.637.555.567.550, A15.145.229.637.555.567.550, A15.382.490.555.567.550"
D016133,polymerase chain reaction,E05.393.620.500
D016134,organizational policy,"I01.655.500.550, I01.880.604.825.550, N03.623.500.550"
D016135,spinal dysraphism,"C10.500.680.800, C16.131.666.680.800"
D016136,spina bifida occulta,"C10.500.680.800.750, C16.131.666.680.800.750"
D016137,spina bifida cystica,"C10.500.680.800.730, C16.131.666.680.800.730"
D016138,walking,"G11.427.410.568.900, G11.427.410.698.277.937, I03.350.937, I03.450.642.845.940"
D016139,martial arts,I03.450.642.845.560
D016142,holoprosencephaly,"C05.660.207.410, C10.500.034.875, C16.131.077.410, C16.131.260.380, C16.131.621.207.410, C16.131.666.034.875, C16.320.180.380"
D016145,"endoscopy, digestive system","E01.370.372.250, E01.370.388.250.250, E04.210.240, E04.502.250.250"
D016147,"genes, tumor suppressor","G05.360.340.024.340.375.249, G05.360.340.024.340.415.400"
D016153,"genes, suppressor",G05.360.340.024.340.460
D016154,digestive system fistula,"C06.267, C23.300.575.185"
D016155,oral fistula,"C07.465.614, C23.300.575.500"
D016156,respiratory tract fistula,"C08.702, C23.300.575.687"
D016157,vascular fistula,"C14.240.850.984, C14.907.933, C23.300.575.950"
D016158,"genes, p53","G05.360.340.024.340.375.249.385, G05.360.340.024.340.415.400.385"
D016159,tumor suppressor protein p53,"D12.776.157.687.650, D12.776.260.820, D12.776.624.776.775, D12.776.660.720.650, D12.776.744.845"
D016160,retinoblastoma protein,"D12.776.260.704, D12.776.624.776.745, D12.776.660.807, D12.776.744.770"
D016161,"genes, retinoblastoma","G05.360.340.024.340.375.249.400, G05.360.340.024.340.415.400.400"
D016162,"genes, wilms tumor","G05.360.340.024.340.375.249.420, G05.360.340.024.340.415.400.420"
D016163,"genes, dcc","G05.360.340.024.340.375.249.200, G05.360.340.024.340.415.400.200"
D016164,bison,B01.050.150.900.649.313.500.380.120
D016166,free radical scavengers,D27.505.519.217.500
D016167,integrin alphaxbeta2,"D12.776.395.550.200.275, D12.776.543.550.200.275, D12.776.543.750.705.408.600.100, D12.776.543.750.705.833.249, D23.050.301.350.275"
D016169,lymphocyte function-associated antigen-1,"D12.776.395.550.200.074.937, D12.776.395.550.200.625.550, D12.776.543.550.200.093.937, D12.776.543.550.200.625.550, D12.776.543.750.705.408.600.400, D12.776.543.750.705.877.550, D23.050.301.350.074.400, D23.050.301.350.625.550"
D016170,accelerated idioventricular rhythm,"C14.280.067.845.940.349, C14.280.123.875.940.349, C23.550.073.845.940.349"
D016171,torsades de pointes,"C14.280.067.845.940.700, C14.280.123.875.940.700, C23.550.073.845.940.700"
D016172,dna fingerprinting,"E05.318.740.225.500.500, E05.393.290, I01.198.780.937.375, N04.452.910.099.750"
D016173,macrophage colony-stimulating factor,"D12.644.276.374.410.240.500, D12.776.395.240.500, D12.776.467.374.410.240.500, D23.529.374.410.240.500"
D016174,hepacivirus,"B04.450.380, B04.820.578.344.475"
D016175,b-lymphocyte subsets,"A11.063.438.450, A11.118.637.555.567.550.450, A11.118.637.555.567.562.200, A15.145.229.637.555.567.550.450, A15.145.229.637.555.567.562.200, A15.382.032.438.450, A15.382.490.555.567.550.300, A15.382.490.555.567.562.450"
D016176,t-lymphocyte subsets,"A11.118.637.555.567.550.500, A11.118.637.555.567.569.500, A15.145.229.637.555.567.550.500, A15.145.229.637.555.567.569.500, A15.382.490.555.567.550.500, A15.382.490.555.567.569.500"
D016177,macrophage-1 antigen,"D12.776.543.750.705.408.495.500, D12.776.543.750.705.408.600.500, D12.776.543.750.705.833.500"
D016178,granulocyte-macrophage colony-stimulating factor,"D12.644.276.374.410.240.375, D12.776.395.240.300, D12.776.467.374.410.240.375, D23.529.374.410.240.375"
D016179,granulocyte colony-stimulating factor,"D12.644.276.374.410.240.350, D12.776.395.240.200, D12.776.467.374.410.240.350, D23.529.374.410.240.350"
D016180,lentivirus infections,C01.925.782.815.616
D016181,feline acquired immunodeficiency syndrome,"C01.925.782.815.616.350, C01.925.839.400, C22.180.350"
D016182,visna,"C01.925.782.815.616.900, C01.925.839.900, C22.836.900"
D016183,murine acquired immunodeficiency syndrome,"C01.925.782.815.650, C01.925.928.650, C22.795.650"
D016184,"receptors, colony-stimulating factor","D12.776.543.750.705.852.150, D12.776.543.750.750.400.200"
D016185,"receptors, interleukin-3","D12.776.543.750.705.852.150.360, D12.776.543.750.705.852.420.340, D12.776.543.750.750.400.200.480"
D016186,"receptor, macrophage colony-stimulating factor","D08.811.913.696.620.682.725.400.500, D12.776.543.750.630.492, D12.776.543.750.705.852.150.150, D12.776.543.750.750.400.200.200, D12.776.624.664.700.800"
D016187,"receptors, granulocyte-macrophage colony-stimulating factor","D12.776.543.750.705.852.150.310, D12.776.543.750.750.400.200.420"
D016188,"receptors, granulocyte colony-stimulating factor","D12.776.543.750.705.852.150.280, D12.776.543.750.750.400.200.400"
D016189,dystrophin,"D12.776.210.500.250, D12.776.220.250, D12.776.543.250"
D016190,carboplatin,D02.257.125
D016192,"resting phase, cell cycle",G04.144.500.300
D016193,g1 phase,G04.144.500.320
D016194,"receptors, n-methyl-d-aspartate","D12.776.157.530.400.400.500.500, D12.776.543.550.450.500.200.500, D12.776.543.585.400.500.200.500, D12.776.543.750.720.200.450.400.500"
D016195,g2 phase,G04.144.500.340
D016196,s phase,"G02.111.225.880, G04.144.500.800, G05.226.880"
D016199,"herpesvirus 7, human",B04.280.382.150.750.420
D016200,maturation-promoting factor,"D08.811.913.696.620.682.700.646.500.984, D12.644.360.250.580, D12.776.167.200.580, D12.776.476.250.580"
D016201,"receptors, lymphocyte homing","D12.776.395.550.200.625, D12.776.543.550.200.625, D12.776.543.750.705.877, D23.050.301.350.625"
D016202,n-methylaspartate,"D12.125.067.500.400, D12.125.119.170.400"
D016203,cdc2 protein kinase,"D08.811.913.696.620.682.700.646.500.500.250, D08.811.913.696.620.682.700.646.500.984.500, D12.644.360.250.067.249, D12.644.360.250.580.500, D12.776.167.200.067.249, D12.776.167.200.580.500, D12.776.476.250.067.249, D12.776.476.250.580.500, D12.776.744.360"
D016205,sigmodontinae,B01.050.150.900.649.313.992.635.075.500
D016206,"databases, bibliographic","L01.313.500.750.300.188.300, L01.470.750.500"
D016207,cytokines,"D12.644.276.374, D12.776.467.374, D23.529.374"
D016208,"databases, factual","L01.313.500.750.300.188.400, L01.470.750.750"
D016209,interleukin-8,"D12.644.276.374.200.120.800, D12.644.276.374.465.312, D12.776.467.374.200.120.800, D12.776.467.374.465.246, D23.125.300.120.800, D23.469.200.120.800, D23.529.374.200.120.800, D23.529.374.465.312"
D016210,methacholine chloride,"D02.092.877.883.555.500, D02.675.276.534.500"
D016211,transforming growth factor alpha,"D12.644.276.382.750, D12.644.276.963.360, D12.776.467.382.750, D12.776.467.960.360, D23.529.382.750, D23.529.960.360"
D016212,transforming growth factor beta,"D12.644.276.374.687, D12.644.276.954.775, D12.776.467.374.687, D12.776.467.942.775, D23.529.374.687, D23.529.942.775"
D016213,cyclins,"D12.644.360.262, D12.776.167.218, D12.776.476.262"
D016215,macrophage-activating factors,"D12.644.276.374.480.615, D12.776.467.374.480.615, D23.529.374.480.615"
D016216,"ultrasonography, prenatal","E01.370.350.850.865, E01.370.378.630.865"
D016217,"ultrasonography, mammary","E01.370.350.850.860, E01.370.378.850"
D016219,"immunotherapy, adoptive","E02.095.465.425.400.330.050.400, E05.478.550.520.050.400"
D016220,fibroblast growth factor 1,"D12.644.276.624.110, D12.776.467.624.110, D23.529.624.110"
D016221,festschrift,"V02.260.400, V02.530.400, V02.672.500"
D016222,fibroblast growth factor 2,"D12.644.276.624.120, D12.776.467.624.120, D23.529.624.120"
D016223,advance directives,"I01.880.604.583.020, N03.706.535.020, N04.590.233.624.124.050"
D016224,living wills,"I01.880.604.583.020.500, I01.880.604.583.927.500, N03.706.535.020.500, N04.590.233.624.124.050.500"
D016226,"phosphorus, dietary",D01.695.635
D016227,benzoquinones,D02.806.250
D016228,endothelial growth factors,"D12.644.276.390, D12.776.467.390, D23.529.390"
D016229,amyloid beta-peptides,"D12.644.024, D12.776.049.407.249.500, D12.776.543.039.500"
D016231,fluorescence polarization immunoassay,"E01.370.225.500.607.512.240.655.350, E01.370.225.750.551.512.240.655.350, E05.196.712.516.600.390.350, E05.200.500.607.512.240.655.350, E05.200.750.551.512.240.655.350, E05.478.566.159.350, E05.478.583.375.655.350"
D016232,endothelins,"D12.644.276.400, D12.776.467.400, D23.529.400"
D016233,"immunotherapy, active","E02.095.465.425.400.530, E05.478.550.600"
D016234,kallikrein-kinin system,"G02.111.635.500.500, G03.493.485, G03.615.500.500, G07.410.810.500.500, G09.330.380.690"
D016235,american speech-language-hearing association,N03.540.828.105
D016236,"genes, fms",G05.360.340.024.340.375.500.791.325
D016238,cytapheresis,"E02.095.160, E02.120.285, E05.200.500.363.171, E05.242.363.171"
D016239,medline,"L01.313.500.750.280.710.500, L01.313.500.750.280.750.500, L01.313.500.750.300.188.300.650.500, L01.313.500.750.300.710.500, L01.313.500.750.300.742.650.500, L01.470.750.500.650.500"
D016240,grateful med,"L01.224.900.400, L01.313.500.750.280.400"
D016241,child of impaired parents,M01.106
D016242,library automation,L01.583.400
D016243,library collection development,L01.583.410
D016244,guanosine 5'-o-(3-thiotriphosphate),"D02.886.765.380, D13.695.667.454.504.380, D13.695.827.426.504.380, D13.695.900.380"
D016245,librarians,M01.526.555
D016246,"lymphocytes, tumor-infiltrating","A11.118.637.555.567.650, A15.145.229.637.555.567.650, A15.382.490.555.567.650"
D016247,information storage and retrieval,"L01.313.500.750.280, L01.470"
D016248,computer storage devices,L01.224.230.260.115.475
D016249,optical storage devices,"J01.897.280.500.668, L01.178.820.090.668, L01.224.230.260.115.475.600"
D016250,compact disks,"J01.897.280.500.668.800.250, J01.897.280.500.898.800.250, L01.178.590.875.800.250, L01.178.820.090.668.800.250, L01.178.820.090.898.800.250, L01.224.230.260.115.475.600.325, L01.280.960.800.250"
D016251,cd-rom,"J01.897.280.500.668.800.250.200, J01.897.280.500.898.800.250.200, L01.178.590.875.800.250.200, L01.178.820.090.668.800.250.200, L01.178.820.090.898.800.250.200, L01.224.230.260.115.475.600.325.750, L01.280.960.800.250.200"
D016252,"microscopy, scanning tunneling","E01.370.350.515.666.500, E05.595.666.500"
D016253,"microscopy, immunoelectron","E01.370.350.515.402.625, E05.595.402.625"
D016254,"mutagenesis, insertional","E05.393.420.601.550, G05.365.590.575, G05.558.550"
D016255,anistreplase,"D08.811.277.656.300.760.635.075, D08.811.277.656.300.775.075, D08.811.277.656.959.350.635.075, D12.776.124.125.662.537.075"
D016256,lewis x antigen,"D23.050.285.050.050, D23.050.301.264.900.050, D23.050.301.264.965.500, D23.050.301.290.544.059, D23.050.550.325.050, D23.050.705.230.544.059, D23.101.100.900.050, D23.101.140.075.050"
D016257,fura-2,"D03.383.129.462.285, D03.633.100.127.250"
D016258,"genes, mos",G05.360.340.024.340.375.500.791.400
D016259,"genes, myc",G05.360.340.024.340.375.500.791.420
D016260,"monocytes, activated killer","A11.118.637.555.283.750, A11.118.637.555.652.500, A11.627.624.500, A11.733.547.500, A15.145.229.637.555.283.750, A15.145.229.637.555.652.500, A15.382.490.555.283.750, A15.382.490.555.652.500, A15.382.670.547.500, A15.382.680.547.500"
D016262,postpoliomyelitis syndrome,"C01.207.618.750.750, C01.925.782.687.359.764.650, C05.651.534.750, C10.228.228.618.750.750, C10.228.854.525.850.750, C10.574.827, C10.668.491.175.750, C10.668.864.500"
D016263,aids-associated nephropathy,"C01.221.250.875.050, C01.221.812.640.400.072, C01.778.640.400.072, C01.925.782.815.616.400.050, C01.925.813.400.072, C12.777.419.050, C13.351.968.419.050, C20.673.480.050"
D016264,dextran sulfate,D09.698.365.272.300
D016265,conflict of interest,"K01.752.566.479.095, N05.350.225"
D016266,food parasitology,"H01.158.273.688.500, J01.576.423.850.730.500.249.650, N06.850.460.400.650, N06.850.601.500.249.650"
D016267,external fixators,"E07.858.442.660.430, E07.858.690.725.430"
D016268,internal fixators,"E07.695.370, E07.858.442.660.460, E07.858.690.725.460"
D016269,milk hypersensitivity,C20.543.480.370.500
D016270,united states agency for healthcare research and quality,"I01.409.418.750.600.650.592, N03.540.348.500.500.600.650.592"
D016271,proto-oncogene proteins c-myc,"D12.776.260.103.813, D12.776.624.664.700.189, D12.776.660.765, D12.776.930.125.813"
D016272,occupational health,N01.400.525
D016273,occupational exposure,N06.850.460.350.600
D016274,oncogene protein p55(v-myc),"D12.776.260.630, D12.776.624.664.520.750.750, D12.776.660.700, D12.776.964.700.750.750, D12.776.964.775.750.750"
D016275,atrial function,G09.330.040
D016276,ventricular function,G09.330.955
D016277,"ventricular function, left",G09.330.955.800
D016278,"ventricular function, right",G09.330.955.900
D016279,"atrial function, left",G09.330.040.100
D016280,"atrial function, right",G09.330.040.200
D016281,oncogene protein gp140(v-fms),"D12.776.624.664.520.750.650, D12.776.964.700.750.650, D12.776.964.775.750.650"
D016282,aspartic acid endopeptidases,"D08.811.277.656.074.500, D08.811.277.656.300.048"
D016283,proto-oncogene proteins p21(ras),"D08.811.277.040.330.300.400.500.600, D12.644.360.525.500.600, D12.776.157.325.515.500.600, D12.776.476.525.500.600, D12.776.624.664.700.200"
D016284,technetium tc 99m pentetate,"D02.092.782.590.883, D02.241.081.018.639.883, D02.691.825.875"
D016285,iloprost,"D10.251.355.255.550.775.125, D23.469.050.175.725.775.125, D23.469.700.275"
D016287,computer peripherals,L01.224.230.260.115
D016288,computer terminals,L01.224.230.260.115.500
D016291,dizocilpine maleate,"D02.455.426.559.847.181.384.380, D04.615.181.384.380"
D016292,conscious sedation,E03.250
D016293,moricizine,"D02.886.369.533, D03.383.533.640.475, D03.633.300.783.533"
D016294,"models, nursing",E05.599.645
D016296,mutagenesis,G05.558
D016297,"mutagenesis, site-directed",E05.393.420.601.575
D016298,hematopoietic cell growth factors,"D12.644.276.374.410, D12.776.467.374.410, D23.529.374.410"
D016299,"dental implantation, subperiosteal","E04.545.550.280.290, E04.650.230.750, E06.645.550.280.290, E06.780.314.482"
D016300,"radiography, bitewing","E01.370.350.700.720.700, E06.342.764.600"
D016301,alveolar bone loss,"C05.116.264.150, C07.465.714.354.500"
D016302,centric relation,E06.520.200
D016303,clinical pharmacy information systems,"N02.421.668.320.200, N04.452.515.095"
D016304,"hospitals, private",N02.278.421.481
D016305,thymopentin,D06.472.910.800.850
D016306,vena cava filters,E07.695.207.500
D016308,"enkephalin, leucine-2-alanine","D12.644.400.575.281.231.500, D12.776.631.650.575.281.231.500"
D016311,"outliers, drg",N03.219.521.710.305.200.080.550
D016312,treatment refusal,"F01.100.150.750.750, F01.145.488.887.750, I01.880.604.473.650.968, N03.706.437.650.875, N05.300.150.800.750"
D016313,"genes, abl",G05.360.340.024.340.375.500.791.100
D016314,ethylketocyclazocine,"D03.383.113.367.350, D03.605.168.350"
D016315,proto-oncogene proteins c-abl,"D08.811.913.696.620.682.725.500, D12.776.624.664.700.167"
D016316,guanfacine,"D02.078.370.465, D02.241.223.601.329"
D016318,quisqualic acid,"D03.383.129.462.580.600, D12.125.755"
D016319,corrosion casting,"E01.370.225.500.620.620.150, E01.370.225.750.600.620.150, E05.200.500.620.620.150, E05.200.750.600.620.150"
D016320,substance abuse treatment centers,"N02.278.035.128.800, N02.278.808.930"
D016321,dental care for aged,"E06.170.100, N02.421.240.190.210"
D016322,hiv enhancer,"G02.111.570.080.689.330.400, G02.111.570.080.708.850.400.400, G05.360.080.689.330.400, G05.360.080.708.850.400.400, G05.360.340.024.340.137.750.249.400"
D016324,sequence tagged sites,G05.360.340.024.810
D016325,hiv long terminal repeat,"G02.111.570.080.708.850.400, G05.360.080.708.850.400"
D016326,extracellular matrix proteins,D12.776.860.300
D016328,nf-kappa b,"D05.500.672, D12.776.260.600, D12.776.660.600, D12.776.930.600"
D016329,sp1 transcription factor,"D12.776.260.522.750.249, D12.776.930.375.750.249"
D016330,frail elderly,M01.060.116.100.540
D016331,"parenteral nutrition, home","E02.421.505.550, E02.642.500.505.550, N02.421.143.524.650"
D016332,fetal tissue transplantation,"E02.095.147.725.300, E04.936.580.300"
D016333,hiv protease,"D08.811.277.656.074.500.340, D08.811.277.656.300.048.340, D08.811.277.656.979.500, D12.776.964.775.375.545.750, D12.776.964.900.500.625"
D016334,"genes, vpr","G05.360.340.024.340.364.875.897, G05.360.340.024.340.425.578, G05.360.340.358.024.875.897, G05.360.340.358.840.500.897"
D016335,zinc fingers,G02.111.570.820.709.275.500.985
D016336,"gene products, vpr",D12.776.964.925.984.430
D016337,"rna, catalytic","D08.811.797, D13.444.735.790.199"
D016338,"genes, vpu","G05.360.340.024.340.364.875.900, G05.360.340.024.340.425.580, G05.360.340.358.024.875.900, G05.360.340.358.840.500.900"
D016339,"spectrometry, mass, fast atom bombardment",E05.196.566.750
D016341,"genes, vif","G05.360.340.024.340.364.875.890, G05.360.340.024.340.425.575, G05.360.340.358.024.875.890, G05.360.340.358.840.500.890"
D016342,"angioplasty, laser","E02.148.050.075, E02.594.060, E04.014.520.060, E04.100.814.529.124.075, E04.502.382.124.075, E05.157.016.075"
D016343,"monitoring, intraoperative","E01.370.520.510, E04.510"
D016344,medicare part a,"N03.219.521.346.506.564.663.500, N03.219.521.576.343.840.725, N03.706.615.698"
D016345,medicare part b,"N03.219.521.346.506.564.663.515, N03.219.521.576.343.840.754, N03.706.615.699"
D016346,"gene products, vif","D12.776.964.775.468, D12.776.964.925.875"
D016347,"medical records systems, computerized","E05.318.308.940.968.625, L01.313.500.750.300.695, N04.452.859.564.650, N05.715.360.300.715.500.530, N06.850.520.308.940.968.625"
D016348,osseointegration,"G11.427.213.140.570, G16.762.150.150.570"
D016350,leucine zippers,G02.111.570.820.709.275.500.520
D016352,group homes,"J03.775.375, N02.278.825.375"
D016353,self-examination,"E01.370.600.750, F01.145.488.700"
D016354,rhodobacter capsulatus,"B03.440.623.225, B03.660.050.750.700.225"
D016355,"genes, px","G05.360.340.024.340.364.875.735, G05.360.340.024.340.425.416, G05.360.340.358.024.875.735, G05.360.340.358.840.500.735"
D016356,"gene products, tax","D12.776.624.664.520.750.480, D12.776.964.700.750.480, D12.776.964.775.750.480, D12.776.964.925.984.410"
D016357,infection control practitioners,"M01.526.485.490, N02.360.490"
D016358,contact tracing,"E05.318.270, N06.850.520.270, N06.850.780.200.225"
D016360,clostridioides difficile,B03.353.625.657.500
D016361,bankruptcy,N03.219.463.045
D016362,"analgesia, obstetrical",E03.091.110
D016363,antitrust laws,N03.706.615.100
D016364,reading frames,G05.360.335.760
D016365,"liability, legal","I01.880.604.583.490, N03.706.535.547"
D016366,open reading frames,"G05.360.335.760.640, G05.360.340.024.340.137.650"
D016367,baculoviridae,"B04.280.065, B04.525.100"
D016368,frameshift mutation,G05.365.590.265
D016369,smear layer,C07.793.208.688
D016370,"gene products, rex","D12.776.624.664.520.750.470, D12.776.964.700.750.470, D12.776.964.775.750.470, D12.776.964.925.750"
D016371,cranial irradiation,E02.815.190
D016372,"rna, antisense","D13.150.650, D13.444.600.150.760, D13.444.735.150, D27.720.470.530.600.150.760"
D016373,"dna, antisense","D13.150.200, D13.444.308.150, D13.444.600.150.200, D27.720.470.530.600.150.200"
D016374,oncogene proteins v-abl,"D12.776.624.664.520.750.875, D12.776.964.700.750.875, D12.776.964.775.750.875"
D016375,antisense elements (genetics),"D13.150, D13.444.600.150, D27.720.470.530.600.150"
D016376,"oligonucleotides, antisense","D13.150.480, D13.444.600.150.640, D13.695.578.424.480, D27.720.470.530.600.150.640"
D016377,organ transplantation,E04.936.450
D016378,tissue transplantation,"E02.095.147.725, E04.936.580"
D016379,"denture, partial, fixed, resin-bonded","E06.780.346.760.943.271.260, E07.695.190.200.220.220.220"
D016380,brain tissue transplantation,"E02.095.147.725.090, E04.525.090, E04.936.580.090"
D016381,islets of langerhans transplantation,"E02.095.147.500.250, E04.270.550, E04.936.225.375"
D016382,orthodontic appliance design,"E05.320.274, E06.658.450, E06.912.675"
D016384,consensus sequence,G02.111.570.580.175
D016385,tata box,"G02.111.570.080.689.675.850, G05.360.080.689.675.850, G05.360.340.024.340.137.750.680.850"
D016386,chromosome walking,E05.393.183.250
D016387,women's health,N01.400.900
D016388,tooth loss,"C07.465.714.804, C07.793.870"
D016389,maternal-child nursing,"H02.478.676.390, N02.421.533.460"
D016390,allied health occupations,H02.010
D016391,"genes, src",G05.360.340.024.340.375.500.791.570
D016392,proto-oncogene proteins pp60(c-src),"D08.811.913.696.620.682.725.800.630, D12.776.624.664.700.202"
D016393,"lymphoma, b-cell","C04.557.386.480.150, C15.604.515.569.480.150, C20.683.515.761.480.150"
D016399,"lymphoma, t-cell","C04.557.386.480.750, C15.604.515.569.480.750, C20.683.515.761.480.750"
D016400,"lymphoma, large-cell, immunoblastic","C04.557.386.480.493, C15.604.515.569.480.493, C20.683.515.761.480.487"
D016403,"lymphoma, large b-cell, diffuse","C04.557.386.480.150.585, C15.604.515.569.480.150.585, C20.683.515.761.480.150.585"
D016410,"lymphoma, t-cell, cutaneous","C04.557.386.480.750.800, C15.604.515.569.480.750.800, C20.683.515.761.480.750.800"
D016411,"lymphoma, t-cell, peripheral","C04.557.386.480.750.825, C15.604.515.569.480.750.825, C20.683.515.761.480.750.825"
D016414,resuscitation orders,"E02.365.647.740, E02.760.905.700, I01.880.604.583.789, N02.421.585.905.700, N03.706.535.704"
D016415,sequence alignment,E05.393.751
D016416,meeting abstract,V02.650
D016417,bibliography,"V01.165, V02.165"
D016418,legal case,V02.610
D016419,classical article,"V02.255, V02.530.250"
D016420,comment,"V01.205, V02.267"
D016421,editorial,"V01.250, V02.335"
D016422,letter,"V01.550, V02.355.374, V02.625"
D016423,congress,V02.270
D016424,overall,"V02.270.500, V02.672"
D016425,published erratum,"V01.700, V02.737"
D016426,scientific integrity review,V03.800
D016427,technical report,V02.935
D016428,journal article,V02.600
D016429,clinical conference,V03.150
D016430,clinical trial,V03.175.250
D016431,guideline,V02.515
D016433,news,"V01.630, V02.665"
D016435,directory,V02.312
D016437,dictionary,V02.310
D016438,duplicate publication,V02.320
D016439,corrected and republished article,V02.275
D016440,retraction of publication,"V01.775, V02.825"
D016441,retracted publication,V02.800
D016446,consensus development conference,"V02.270.250, V02.600.500.500, V02.912.500, V03.300"
D016447,"consensus development conference, nih","V02.270.250.500, V02.600.500.500.500, V02.912.500.500, V03.300.300"
D016448,multicenter study,V03.650
D016449,randomized controlled trial,V03.175.250.500.500
D016453,periodical index,V02.682
D016454,review,"V02.600.500, V02.912"
D016456,historical article,V02.530
D016459,prosthesis-related infections,"C01.685, C23.550.767.868"
D016460,granuloma annulare,"C17.300.200.495.380, C17.800.550.380, C23.550.382.375"
D016461,"chemoembolization, therapeutic","E02.520.360.150, E02.926.500.150"
D016462,mammaplasty,"E02.218.565, E04.680.500"
D016463,sweet syndrome,C17.800.229.800
D016464,lysosomal storage diseases,"C16.320.565.595, C18.452.648.595"
D016465,bone marrow purging,E02.120.142
D016466,cho cells,"A11.251.210.200, A11.436.155"
D016467,monograph,V02.660
D016468,forestry,J01.576.430
D016469,fungemia,"C01.150.703.492.594, C01.757.360, C23.550.470.790.500.360"
D016470,bacteremia,"C01.150.252.100, C01.757.100, C23.550.470.790.500.100"
D016471,ovarian hyperstimulation syndrome,"C13.351.500.056.630.642, C19.391.630.642"
D016472,motor neuron disease,"C10.574.562, C10.668.467"
D016473,gallbladder emptying,G10.261.345
D016474,weight-bearing,G01.374.965
D016475,3t3 cells,"A11.251.210.100, A11.329.228.100"
D016476,"urinary reservoirs, continent","A10.850.750, E07.862.750"
D016477,artifacts,E05.047
D016480,helicobacter pylori,"B03.440.500.550, B03.660.150.235.500.250.550"
D016481,helicobacter infections,C01.150.252.400.466
D016482,urinalysis,"E01.370.225.124.810, E01.370.390.810, E05.200.124.810"
D016483,"lymphoma, aids-related","C04.557.386.480.150.450, C15.604.515.569.480.150.450, C20.683.515.761.480.150.450"
D016485,needle sharing,I01.880.735.580
D016487,parenting,F01.829.263.370.310
D016488,"medicine, african traditional","E02.190.488.505, E02.190.901.433, I01.076.201.450.654.505"
D016489,"head injuries, closed","C10.900.300.350, C26.915.300.450, C26.974.382"
D016490,integrated advanced information management systems,L01.313.500.750.300.420
D016491,peripheral vascular diseases,C14.907.617
D016494,computer security,"L01.224.134, N04.452.910.200"
D016495,police,"M01.526.373.750, M01.526.760"
D016496,incontinence pads,E07.325.068.500
D016497,adolescent health services,N02.421.044
D016499,radioimmunotherapy,"E02.095.465.425.750, E02.186.750, E02.815.520"
D016500,color therapy,"E02.190.888.249, E02.774.215, F04.754.215"
D016501,neurites,"A08.675.256.500, A08.675.542.145.500, A11.284.180.610, A11.671.501.145.500, A11.671.543"
D016503,drug delivery systems,E02.319.300
D016504,breast self-examination,"E01.370.600.750.100, F01.145.488.700.100"
D016506,"pemphigus, benign familial","C16.320.850.700, C17.800.827.700, C17.800.865.858"
D016507,"cardiology service, hospital","N02.278.216.500.968.215, N04.452.442.452.422.215"
D016508,fluorescent treponemal antibody-absorption test,"E01.370.225.812.735.850.200, E05.200.812.735.850.200, E05.478.594.760.850.200"
D016510,corneal neovascularization,"C11.204.290, C23.550.589.500.435"
D016511,severe combined immunodeficiency,"C16.320.798.750, C16.614.815, C18.452.284.800, C20.673.795.750"
D016512,ankle injuries,C26.558.100
D016513,"mice, scid",B01.050.150.900.649.313.992.635.505.500.550.780
D016514,"genes, neurofibromatosis 1","G05.360.340.024.340.375.249.340, G05.360.340.024.340.415.400.340"
D016515,"genes, neurofibromatosis 2","G05.360.340.024.340.375.249.345, G05.360.340.024.340.415.400.345"
D016516,cd4-cd8 ratio,"E01.370.225.500.195.107.595.500.150.160, E01.370.225.625.107.595.500.150.160, E05.200.500.195.107.595.500.150.160, E05.200.625.107.595.500.150.160, E05.242.195.107.595.500.150.160, G04.140.107.595.500.150.160, G09.188.105.595.500.150.160, G12.248"
